epci_siren,epci_nom,epci_type,code_commune,nom_commune
200030633,CA du Caudrésis et du Catésis,CA,59037,Avesnes-les-Aubert
200030633,CA du Caudrésis et du Catésis,CA,59055,Bazuel
200030633,CA du Caudrésis et du Catésis,CA,59059,Beaumont-en-Cambrésis
200030633,CA du Caudrésis et du Catésis,CA,59063,Beauvois-en-Cambrésis
200030633,CA du Caudrésis et du Catésis,CA,59074,Bertry
200030633,CA du Caudrésis et du Catésis,CA,59075,Béthencourt
200030633,CA du Caudrésis et du Catésis,CA,59081,Bévillers
200030633,CA du Caudrésis et du Catésis,CA,59102,Boussières-en-Cambrésis
200030633,CA du Caudrésis et du Catésis,CA,59108,Briastre
200030633,CA du Caudrésis et du Catésis,CA,59118,Busigny
200030633,CA du Caudrésis et du Catésis,CA,59132,Carnières
200030633,CA du Caudrésis et du Catésis,CA,59137,Catillon-sur-Sambre
200030633,CA du Caudrésis et du Catésis,CA,59138,Cattenières
200030633,CA du Caudrésis et du Catésis,CA,59139,Caudry
200030633,CA du Caudrésis et du Catésis,CA,59140,Caullery
200030633,CA du Caudrésis et du Catésis,CA,59149,Clary
200030633,CA du Caudrésis et du Catésis,CA,59171,Dehéries
200030633,CA du Caudrésis et du Catésis,CA,59191,Élincourt
200030633,CA du Caudrésis et du Catésis,CA,59213,Estourmel
200030633,CA du Caudrésis et du Catésis,CA,59243,Fontaine-au-Pire
200030633,CA du Caudrésis et du Catésis,CA,59287,Haucourt-en-Cambrésis
200030633,CA du Caudrésis et du Catésis,CA,59311,Honnechy
200030633,CA du Caudrésis et du Catésis,CA,59321,Inchy
200030633,CA du Caudrésis et du Catésis,CA,59274,La Groise
200030633,CA du Caudrésis et du Catésis,CA,59136,Le Cateau-Cambrésis
200030633,CA du Caudrésis et du Catésis,CA,59349,Ligny-en-Cambrésis
200030633,CA du Caudrésis et du Catésis,CA,59372,Malincourt
200030633,CA du Caudrésis et du Catésis,CA,59382,Maretz
200030633,CA du Caudrésis et du Catésis,CA,59394,Maurois
200030633,CA du Caudrésis et du Catésis,CA,59395,Mazinghien
200030633,CA du Caudrésis et du Catésis,CA,59412,Montay
200030633,CA du Caudrésis et du Catésis,CA,59413,Montigny-en-Cambrésis
200030633,CA du Caudrésis et du Catésis,CA,59430,Neuvilly
200030633,CA du Caudrésis et du Catésis,CA,59450,Ors
200030633,CA du Caudrésis et du Catésis,CA,59465,Pommereuil
200030633,CA du Caudrésis et du Catésis,CA,59485,Quiévy
