code_commune,nom_commune,epci_nom,categorie_priorite,score_fragilite,nb_commerces_manquants,liste_manquants
59116,BRY,CC du Pays de Mormal,Priorité B,49.49,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59118,BUSIGNY,CA du Caudrésis et du Catésis,Priorité B,53.2,5,"Boulangerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59122,CAMBRAI,CA de Cambrai,Priorité B,50.88,2,"Coiffeur, Bar-Café"
59125,CANTAING-SUR-ESCAUT,CA de Cambrai,Priorité B,43.83,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59126,CANTIN,CA Douaisis Agglo,Priorité B,49.36,5,"Boulangerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59136,LE CATEAU-CAMBRESIS,CA du Caudrésis et du Catésis,Priorité B,54.77,3,"Boulangerie, Coiffeur, Bar-Café"
59139,CAUDRY,CA du Caudrésis et du Catésis,Priorité B,53.54,2,"Coiffeur, Bar-Café"
59142,CERFONTAINE,CA Maubeuge Val de Sambre,Priorité B,46.48,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59148,CLAIRFAYTS,CC Coeur de l'Avesnois,Priorité B,50.05,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59151,COLLERET,CA Maubeuge Val de Sambre,Priorité B,45.87,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59153,CONDE-SUR-L'ESCAUT,CA Valenciennes Métropole,Priorité B,56.47,3,"Boulangerie, Coiffeur, Bar-Café"
59160,CRESPIN,CA Valenciennes Métropole,Priorité B,52.05,6,"Boulangerie, Épicerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59164,CROIX-CALUYAU,CC du Pays de Mormal,Priorité B,48.91,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59171,DEHERIES,CA du Caudrésis et du Catésis,Priorité A,50.12,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59172,DENAIN,CA de la Porte du Hainaut,Priorité B,52.94,3,"Tabac-Presse, Coiffeur, Bar-Café"
59178,DOUAI,CA Douaisis Agglo,Priorité B,56.65,2,"Coiffeur, Bar-Café"
59182,DRINCHAM,CC des Hauts de Flandre,Priorité B,53.19,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59183,DUNKERQUE,CU de Dunkerque,Priorité B,55.55,2,"Coiffeur, Bar-Café"
59184,EBBLINGHEM,CA Coeur de Flandre,Priorité B,40.9,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59186,ECCLES,CC Coeur de l'Avesnois,Priorité A,53.46,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59187,ECLAIBES,CA Maubeuge Val de Sambre,Priorité B,42.58,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59188,ECUELIN,CA Maubeuge Val de Sambre,Priorité B,48.55,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59193,EMMERIN,Métropole Européenne de Lille,Priorité B,41.57,5,"Boulangerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59199,ERCHIN,CA Douaisis Agglo,Priorité B,46.51,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
