code_commune,nom_commune,epci_nom,categorie_priorite,score_fragilite,nb_commerces_manquants,liste_manquants
59582,STRAZEELE,CA Coeur de Flandre,Priorité B,44.89,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59583,TAISNIERES-EN-THIERACHE,CC Coeur de l'Avesnois,Priorité B,51.71,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59584,TAISNIERES-SUR-HON,CC du Pays de Mormal,Priorité B,43.78,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59591,THIVENCELLE,CA Valenciennes Métropole,Priorité B,54.37,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59596,TILLOY-LEZ-MARCHIENNES,CA Coeur d'Ostrevent,Priorité B,42.92,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59599,TOURCOING,Métropole Européenne de Lille,Priorité B,55.97,2,"Coiffeur, Bar-Café"
59601,TRELON,CC du Sud Avesnois,Priorité B,50.28,4,"Boulangerie, Épicerie, Coiffeur, Bar-Café"
59604,TROISVILLES,CA du Caudrésis et du Catésis,Priorité B,47.96,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59605,UXEM,CC des Hauts de Flandre,Priorité B,48.69,6,"Boulangerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59606,VALENCIENNES,CA Valenciennes Métropole,Priorité B,52.67,2,"Coiffeur, Bar-Café"
59610,VERCHAIN-MAUGRE,CA Valenciennes Métropole,Priorité B,47.07,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59612,VERTAIN,CC du Pays Solesmois,Priorité B,41.55,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59614,VIESLY,CC du Pays Solesmois,Priorité B,50.82,5,"Boulangerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59616,VIEUX-CONDE,CA Valenciennes Métropole,Priorité B,51.41,3,"Boulangerie, Coiffeur, Bar-Café"
59622,VILLERS-EN-CAUCHIES,CA de Cambrai,Priorité B,49.22,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59624,VILLERS-OUTREAUX,CA du Caudrésis et du Catésis,Priorité B,51.31,6,"Boulangerie, Épicerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59625,VILLERS-PLOUICH,CA de Cambrai,Priorité B,45.31,6,"Boulangerie, Épicerie, Pharmacie, Tabac-Presse, Coiffeur, Bar-Café"
59628,VOLCKERINCKHOVE,CC des Hauts de Flandre,Priorité B,45.05,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59633,WALLERS-EN-FAGNE,CC du Sud Avesnois,Priorité B,46.94,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59637,WANDIGNIES-HAMAGE,CA Coeur d'Ostrevent,Priorité B,45.83,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59640,WARGNIES-LE-PETIT,CC du Pays de Mormal,Priorité B,44.33,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59641,WARHEM,CC des Hauts de Flandre,Priorité B,47.1,5,"Boulangerie, Épicerie, Tabac-Presse, Coiffeur, Bar-Café"
59642,WARLAING,CA Coeur d'Ostrevent,Priorité B,44.81,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59650,WATTRELOS,Métropole Européenne de Lille,Priorité B,50.29,2,"Coiffeur, Bar-Café"
59651,WAVRECHAIN-SOUS-DENAIN,CA de la Porte du Hainaut,Priorité B,50.13,5,"Boulangerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59652,WAVRECHAIN-SOUS-FAULX,CA de la Porte du Hainaut,Priorité B,42.11,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59654,WAZIERS,CA Douaisis Agglo,Priorité B,51.05,4,"Boulangerie, Tabac-Presse, Coiffeur, Bar-Café"
59659,WIGNEHIES,CC du Sud Avesnois,Priorité B,52.07,4,"Épicerie, Tabac-Presse, Coiffeur, Bar-Café"
59661,WILLIES,CC du Sud Avesnois,Priorité A,60.14,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59664,WULVERDINGHE,CC des Hauts de Flandre,Priorité B,49.39,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59665,WYLDER,CC des Hauts de Flandre,Priorité B,45.45,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59667,ZERMEZEELE,CA Coeur de Flandre,Priorité B,36.55,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
