code_commune,nom_commune,epci_nom,population,taux_chomage,total_etablissements,nb_actifs,nb_fermes,taux_mortalite,densite_commerciale,solde_net,score_mortalite,score_solde,score_densite,score_chomage,score_fragilite,quartile,cluster,profil,categorie_priorite
59032,AULNOY-LEZ-VALENCIENNES,CA Valenciennes Métropole,7080.0,18.39,205,101,104,50.73170731707317,14.26553672316384,-3,12.68,0.13,21.71,11.98,46.51,Q3-Fragilisé,1.0,Précaire,Non prioritaire
59033,AULNOYE-AYMERIES,CA Maubeuge Val de Sambre,8612.0,24.2,282,140,142,50.35460992907801,16.25638643752903,-2,12.59,0.12,21.25,15.77,49.73,Q4-Fragile,1.0,Précaire,Non prioritaire
59034,AVELIN,CC Pévèle-Carembault,2561.0,5.5,103,53,50,48.54368932038835,20.695040999609528,3,12.14,0.09,20.23,3.58,36.04,Q1-Dynamique,0.0,Dynamique,Non prioritaire
59035,AVESNELLES,CC Coeur de l'Avesnois,2232.0,17.0,68,23,45,66.17647058823529,10.304659498207885,-22,16.54,0.25,22.62,11.08,50.49,Q4-Fragile,1.0,Précaire,Priorité B
59036,AVESNES-SUR-HELPE,CC Coeur de l'Avesnois,4012.0,38.37,260,87,173,66.53846153846153,21.684945164506484,-86,16.63,0.65,20.0,25.0,62.28,Q4-Fragile,1.0,Précaire,Priorité A
59037,AVESNES-LES-AUBERT,CA du Caudrésis et du Catésis,3562.0,15.73,119,64,55,46.21848739495798,17.967434025828187,9,11.55,0.06,20.86,10.25,42.72,Q2-Stable,0.0,Dynamique,Non prioritaire
59038,AVESNES-LE-SEC,CA de la Porte du Hainaut,1458.0,9.82,32,11,21,65.625,7.544581618655693,-10,16.41,0.17,23.26,6.4,46.24,Q3-Fragilisé,3.0,Désertifié,Priorité B
59039,AWOINGT,CA de Cambrai,757.0,6.24,13,5,8,61.53846153846154,6.605019815059445,-3,15.38,0.13,23.48,4.07,43.06,Q2-Stable,3.0,Désertifié,Priorité B
59041,BACHANT,CA Maubeuge Val de Sambre,2230.0,17.73,57,30,27,47.368421052631575,13.452914798206278,3,11.84,0.09,21.9,11.55,45.39,Q3-Fragilisé,1.0,Précaire,Non prioritaire
59042,BACHY,CC Pévèle-Carembault,1898.0,6.8,28,15,13,46.42857142857143,7.903055848261328,2,11.61,0.1,23.18,4.43,39.32,Q1-Dynamique,0.0,Dynamique,Priorité B
59043,BAILLEUL,CA Coeur de Flandre,14732.0,10.61,534,236,298,55.80524344569289,16.01954928047787,-62,13.95,0.5,21.31,6.91,42.67,Q2-Stable,0.0,Dynamique,Non prioritaire
59044,BAISIEUX,Métropole Européenne de Lille,5545.0,6.03,142,61,81,57.04225352112676,11.000901713255184,-20,14.26,0.24,22.46,3.93,40.89,Q1-Dynamique,3.0,Désertifié,Non prioritaire
59045,BAIVES,CC du Sud Avesnois,158.0,9.33,5,2,3,60.0,12.658227848101266,-1,15.0,0.12,22.08,6.08,43.28,Q2-Stable,3.0,Désertifié,Non prioritaire
59046,BAMBECQUE,CC des Hauts de Flandre,845.0,9.53,10,2,8,80.0,2.366863905325444,-6,20.0,0.15,24.45,6.21,50.81,Q4-Fragile,3.0,Désertifié,Priorité B
