code_commune,nom_commune,epci_siren,epci_nom,epci_type,population,taux_chomage,revenu_median,total_etablissements,nb_actifs,nb_fermes,taux_mortalite,densite_commerciale
59213,ESTOURMEL,200030633,CA du Caudrésis et du Catésis,CA,475.0,6.32,,12,3,9,75.0,6.315789473684211
59214,ESTREES,200044618,CA Douaisis Agglo,CA,1134.0,8.14,,25,8,17,68.0,7.0546737213403885
59215,ESTREUX,245901160,CA Valenciennes Métropole,CA,937.0,7.36,,26,9,17,65.38461538461539,9.6051227321238
59216,ESWARS,200068500,CA de Cambrai,CA,363.0,8.65,,9,2,7,77.77777777777779,5.5096418732782375
59217,ETH,200043321,CC du Pays de Mormal,CC,328.0,4.57,,6,2,4,66.66666666666666,6.097560975609756
59218,ETRŒUNGT,200043263,CC Coeur de l'Avesnois,CC,1233.0,11.58,,40,19,21,52.5,15.4095701540957
59219,ESTRUN,200068500,CA de Cambrai,CA,725.0,7.32,,17,9,8,47.05882352941176,12.413793103448276
59220,FACHES-THUMESNIL,200093201,Métropole Européenne de Lille,METRO,18619.0,12.51,7810.0,736,320,416,56.52173913043478,17.186744723132286
59221,FAMARS,245901160,CA Valenciennes Métropole,CA,2474.0,19.33,7260.0,60,29,31,51.66666666666667,11.721907841552142
59222,FAUMONT,200044618,CA Douaisis Agglo,CA,2278.0,5.61,,58,15,43,74.13793103448276,6.584723441615452
59223,LE FAVRIL,200043321,CC du Pays de Mormal,CC,506.0,14.25,,15,5,10,66.66666666666666,9.881422924901186
59224,FECHAIN,200044618,CA Douaisis Agglo,CA,1635.0,14.78,,44,21,23,52.27272727272727,12.844036697247706
59225,FEIGNIES,200043396,CA Maubeuge Val de Sambre,CA,6703.0,20.34,7550.0,226,96,130,57.52212389380531,14.321945397583171
59226,FELLERIES,200043263,CC Coeur de l'Avesnois,CC,1433.0,12.79,,39,13,26,66.66666666666666,9.071877180739707
59227,FENAIN,245901152,CA Coeur d'Ostrevent,CA,5441.0,18.54,8090.0,125,55,70,56.00000000000001,10.10843594927403
59228,FERIN,200044618,CA Douaisis Agglo,CA,1432.0,6.26,,46,22,24,52.17391304347826,15.363128491620113
59229,FERON,200043404,CC du Sud Avesnois,CC,514.0,8.67,,15,5,10,66.66666666666666,9.727626459143968
59230,FERRIERE-LA-GRANDE,200043396,CA Maubeuge Val de Sambre,CA,5131.0,19.89,7050.0,134,71,63,47.01492537313433,13.837458585071136
59231,FERRIERE-LA-PETITE,200043396,CA Maubeuge Val de Sambre,CA,1024.0,14.6,,20,8,12,60.0,7.8125
59232,LA FLAMENGRIE,200043321,CC du Pays de Mormal,CC,431.0,6.5,,7,2,5,71.42857142857143,4.640371229698376
59233,FLAUMONT-WAUDRECHIES,200043263,CC Coeur de l'Avesnois,CC,342.0,15.08,,6,1,5,83.33333333333334,2.923976608187134
59234,FLERS-EN-ESCREBIEUX,200044618,CA Douaisis Agglo,CA,5424.0,15.91,8050.0,293,128,165,56.31399317406144,23.59882005899705
59236,FLESQUIERES,200068500,CA de Cambrai,CA,276.0,12.61,,10,3,7,70.0,10.869565217391303
59237,FLETRE,200040947,CA Coeur de Flandre,CA,923.0,7.1,,19,10,9,47.368421052631575,10.834236186348862
59238,FLINES-LES-MORTAGNE,200042190,CA de la Porte du Hainaut,CA,1685.0,9.34,,36,12,24,66.66666666666666,7.121661721068249
59239,FLINES-LEZ-RACHES,200044618,CA Douaisis Agglo,CA,5745.0,9.96,10280.0,171,66,105,61.40350877192983,11.488250652741515
59240,FLOURSIES,200043263,CC Coeur de l'Avesnois,CC,131.0,10.17,,4,3,1,25.0,22.900763358778626
59241,FLOYON,200043263,CC Coeur de l'Avesnois,CC,505.0,15.42,,14,7,7,50.0,13.861386138613861
59242,FONTAINE-AU-BOIS,200043321,CC du Pays de Mormal,CC,687.0,10.24,,21,7,14,66.66666666666666,10.189228529839882
59243,FONTAINE-AU-PIRE,200030633,CA du Caudrésis et du Catésis,CA,1214.0,13.1,,34,17,17,50.0,14.00329489291598
59244,FONTAINE-NOTRE-DAME,200068500,CA de Cambrai,CA,1754.0,10.01,,43,20,23,53.48837209302325,11.402508551881414
59246,FOREST-EN-CAMBRESIS,200043321,CC du Pays de Mormal,CC,549.0,8.67,,16,7,9,56.25,12.750455373406192
59247,FOREST-SUR-MARQUE,200093201,Métropole Européenne de Lille,METRO,1662.0,8.04,,32,9,23,71.875,5.415162454873647
59249,FOURMIES,200043404,CC du Sud Avesnois,CC,11449.0,27.81,5830.0,623,242,381,61.15569823434992,21.13721722421172
59250,FOURNES-EN-WEPPES,200093201,Métropole Européenne de Lille,METRO,2179.0,6.1,,45,26,19,42.22222222222222,11.932078935291418
59251,FRASNOY,200043321,CC du Pays de Mormal,CC,389.0,8.29,,13,5,8,61.53846153846154,12.853470437017995
59252,FRELINGHIEN,200093201,Métropole Européenne de Lille,METRO,2609.0,7.08,9980.0,66,30,36,54.54545454545454,11.498658489842851
59253,FRESNES-SUR-ESCAUT,245901160,CA Valenciennes Métropole,CA,7354.0,23.75,7750.0,208,98,110,52.88461538461539,13.326081044329616
59254,FRESSAIN,200044618,CA Douaisis Agglo,CA,919.0,8.07,,15,8,7,46.666666666666664,8.705114254624592
59255,FRESSIES,200068500,CA de Cambrai,CA,571.0,10.4,,22,8,14,63.63636363636363,14.010507880910684
59256,FRETIN,200093201,Métropole Européenne de Lille,METRO,3214.0,7.05,8340.0,126,43,83,65.87301587301587,13.378967019290604
59257,FROMELLES,200093201,Métropole Européenne de Lille,METRO,1161.0,5.76,,19,11,8,42.10526315789473,9.474590869939707
59258,GENECH,200041960,CC Pévèle-Carembault,CC,2803.0,4.99,,65,27,38,58.46153846153847,9.632536567962896
59259,GHISSIGNIES,200043321,CC du Pays de Mormal,CC,505.0,9.0,,11,2,9,81.81818181818183,3.9603960396039604
59260,GHYVELDE,245900428,CU de Dunkerque,CU,4133.0,8.31,10110.0,101,39,62,61.386138613861384,9.436244858456327
59261,GLAGEON,200043404,CC du Sud Avesnois,CC,1699.0,19.89,,52,25,27,51.92307692307693,14.714537963507945
59262,GODEWAERSVELDE,200040947,CA Coeur de Flandre,CA,2024.0,6.67,9410.0,37,19,18,48.64864864864865,9.387351778656127
59263,GŒULZIN,200044618,CA Douaisis Agglo,CA,1070.0,7.61,,15,6,9,60.0,5.607476635514018
59264,GOGNIES-CHAUSSEE,200043396,CA Maubeuge Val de Sambre,CA,723.0,14.99,,11,4,7,63.63636363636363,5.532503457814661
59265,GOMMEGNIES,200043321,CC du Pays de Mormal,CC,2264.0,8.32,9560.0,56,25,31,55.35714285714286,11.042402826855124
59266,GONDECOURT,200041960,CC Pévèle-Carembault,CC,4148.0,6.68,10250.0,112,46,66,58.92857142857143,11.089681774349085
59267,GONNELIEU,200068500,CA de Cambrai,CA,279.0,11.17,,8,4,4,50.0,14.336917562724013
59268,LA GORGUE,245900758,CC Flandre Lys,CC,5616.0,11.03,9610.0,185,100,85,45.94594594594595,17.806267806267808
59269,GOUZEAUCOURT,200068500,CA de Cambrai,CA,1413.0,16.99,,60,24,36,60.0,16.985138004246284
59270,GRAND-FAYT,200043263,CC Coeur de l'Avesnois,CC,473.0,14.64,,12,7,5,41.66666666666667,14.799154334038056
59271,GRANDE-SYNTHE,245900428,CU de Dunkerque,CU,20239.0,26.79,7480.0,707,271,436,61.669024045261665,13.38998962399328
59272,GRAND-FORT-PHILIPPE,245900428,CU de Dunkerque,CU,4887.0,13.75,8950.0,107,48,59,55.140186915887845,9.821976672805404
59273,GRAVELINES,245900428,CU de Dunkerque,CU,11430.0,12.83,9040.0,321,129,192,59.813084112149525,11.286089238845145
59274,LA GROISE,200030633,CA du Caudrésis et du Catésis,CA,464.0,8.81,,11,4,7,63.63636363636363,8.620689655172413
59275,GRUSON,200093201,Métropole Européenne de Lille,METRO,1207.0,5.84,,33,16,17,51.515151515151516,13.256006628003313
59276,GUESNAIN,200044618,CA Douaisis Agglo,CA,4635.0,18.82,8150.0,112,40,72,64.28571428571429,8.629989212513484
59277,GUSSIGNIES,200043321,CC du Pays de Mormal,CC,353.0,12.92,,11,5,6,54.54545454545454,14.164305949008499
59278,HALLENNES-LEZ-HAUBOURDIN,200093201,Métropole Européenne de Lille,METRO,4683.0,7.25,9970.0,148,83,65,43.91891891891892,17.723681400811447
59279,HALLUIN,200093201,Métropole Européenne de Lille,METRO,20715.0,12.85,8030.0,657,262,395,60.12176560121766,12.647839729664494
59280,HAMEL,200044618,CA Douaisis Agglo,CA,797.0,12.5,,19,7,12,63.1578947368421,8.782936010037641
59281,HANTAY,200093201,Métropole Européenne de Lille,METRO,1244.0,8.31,,28,11,17,60.71428571428571,8.842443729903538
59282,HARDIFORT,200040947,CA Coeur de Flandre,CA,385.0,6.15,,8,4,4,50.0,10.38961038961039
59283,HARGNIES,200043321,CC du Pays de Mormal,CC,599.0,6.45,,18,8,10,55.55555555555556,13.35559265442404
59284,HASNON,200042190,CA de la Porte du Hainaut,CA,3849.0,8.47,10150.0,119,53,66,55.46218487394958,13.769810340348142
59285,HASPRES,200042190,CA de la Porte du Hainaut,CA,2626.0,14.03,10090.0,56,28,28,50.0,10.662604722010663
59286,HAUBOURDIN,200093201,Métropole Européenne de Lille,METRO,15074.0,12.82,8180.0,447,187,260,58.16554809843401,12.405466365928088
59287,HAUCOURT-EN-CAMBRESIS,200030633,CA du Caudrésis et du Catésis,CA,193.0,8.08,,5,1,4,80.0,5.181347150259067
59288,HAULCHIN,200042190,CA de la Porte du Hainaut,CA,2281.0,15.6,8250.0,45,21,24,53.333333333333336,9.20648838228847
59289,HAUSSY,245901038,CC du Pays Solesmois,CC,1451.0,9.75,,31,19,12,38.70967741935484,13.094417643004824
59290,HAUT-LIEU,200043263,CC Coeur de l'Avesnois,CC,361.0,12.86,,7,3,4,57.14285714285714,8.310249307479225
59291,HAUTMONT,200043396,CA Maubeuge Val de Sambre,CA,14152.0,28.41,6930.0,503,203,300,59.64214711729622,14.344262295081968
59292,HAVELUY,200042190,CA de la Porte du Hainaut,CA,3222.0,20.89,8090.0,77,24,53,68.83116883116884,7.4487895716946
59293,HAVERSKERQUE,245900758,CC Flandre Lys,CC,1376.0,8.69,,41,24,17,41.46341463414634,17.44186046511628
59294,HAYNECOURT,200068500,CA de Cambrai,CA,307.0,9.32,,13,9,4,30.76923076923077,29.315960912052116
59295,HAZEBROUCK,200040947,CA Coeur de Flandre,CA,21912.0,12.65,8590.0,879,412,467,53.12855517633675,18.802482657904346
59296,HECQ,200043321,CC du Pays de Mormal,CC,353.0,11.38,,6,1,5,83.33333333333334,2.8328611898017
59297,HELESMES,200042190,CA de la Porte du Hainaut,CA,1907.0,9.61,,36,15,21,58.333333333333336,7.865757734661773
59299,HEM,200093201,Métropole Européenne de Lille,METRO,18582.0,15.97,7630.0,537,192,345,64.24581005586593,10.332579916047788
59300,HEM-LENGLET,200068500,CA de Cambrai,CA,565.0,19.01,,9,3,6,66.66666666666666,5.3097345132743365
59301,HERGNIES,245901160,CA Valenciennes Métropole,CA,4479.0,9.86,9440.0,102,54,48,47.05882352941176,12.056262558606832
59302,HERIN,200042190,CA de la Porte du Hainaut,CA,4169.0,15.89,8520.0,84,40,44,52.38095238095239,9.594627008875031
59303,HERLIES,200093201,Métropole Européenne de Lille,METRO,2267.0,8.03,10010.0,63,27,36,57.14285714285714,11.910013233348037
59304,HERRIN,200041960,CC Pévèle-Carembault,CC,425.0,8.25,,13,4,9,69.23076923076923,9.411764705882353
59305,HERZEELE,200040954,CC des Hauts de Flandre,CC,1638.0,6.1,,45,25,20,44.44444444444444,15.262515262515263
59306,HESTRUD,200043263,CC Coeur de l'Avesnois,CC,288.0,14.55,,4,3,1,25.0,10.416666666666668
59307,HOLQUE,200040954,CC des Hauts de Flandre,CC,837.0,13.27,,24,11,13,54.166666666666664,13.142174432497013
59308,HONDEGHEM,200040947,CA Coeur de Flandre,CA,916.0,7.3,,25,14,11,44.0,15.283842794759824
59309,HONDSCHOOTE,200040954,CC des Hauts de Flandre,CC,3957.0,14.72,9040.0,104,45,59,56.730769230769226,11.372251705837757
59310,HON-HERGIES,200043321,CC du Pays de Mormal,CC,867.0,9.0,,17,6,11,64.70588235294117,6.920415224913495
59311,HONNECHY,200030633,CA du Caudrésis et du Catésis,CA,541.0,21.89,,17,9,8,47.05882352941176,16.635859519408502
59312,HONNECOURT-SUR-ESCAUT,200068500,CA de Cambrai,CA,710.0,16.31,,17,9,8,47.05882352941176,12.67605633802817
59313,HORDAIN,200042190,CA de la Porte du Hainaut,CA,1446.0,10.82,,34,18,16,47.05882352941176,12.448132780082988
59314,HORNAING,245901152,CA Coeur d'Ostrevent,CA,3496.0,12.51,8230.0,88,36,52,59.09090909090909,10.297482837528603
59315,HOUDAIN-LEZ-BAVAY,200043321,CC du Pays de Mormal,CC,902.0,9.91,,14,7,7,50.0,7.760532150776053
59316,HOUPLIN-ANCOISNE,200093201,Métropole Européenne de Lille,METRO,3326.0,9.59,10060.0,62,27,35,56.451612903225815,8.117859290438966
59317,HOUPLINES,200093201,Métropole Européenne de Lille,METRO,7921.0,12.98,8320.0,221,73,148,66.9683257918552,9.216008079787905
59318,HOUTKERQUE,200040947,CA Coeur de Flandre,CA,978.0,6.22,,17,6,11,64.70588235294117,6.134969325153374
59319,HOYMILLE,200040954,CC des Hauts de Flandre,CC,3259.0,8.56,10920.0,59,30,29,49.152542372881356,9.205277692543726
59320,ILLIES,200093201,Métropole Européenne de Lille,METRO,1712.0,6.33,,45,26,19,42.22222222222222,15.186915887850468
59321,INCHY,200030633,CA du Caudrésis et du Catésis,CA,619.0,18.21,,27,8,19,70.37037037037037,12.924071082390954
59322,IWUY,200068500,CA de Cambrai,CA,3403.0,18.61,9470.0,114,45,69,60.526315789473685,13.223626212165737
59323,JENLAIN,200043321,CC du Pays de Mormal,CC,1115.0,8.14,,28,18,10,35.714285714285715,16.143497757847534
59324,JEUMONT,200043396,CA Maubeuge Val de Sambre,CA,10160.0,28.09,6210.0,348,149,199,57.18390804597702,14.665354330708661
59325,JOLIMETZ,200043321,CC du Pays de Mormal,CC,856.0,6.68,,16,8,8,50.0,9.345794392523365
59326,KILLEM,200040954,CC des Hauts de Flandre,CC,1164.0,9.7,,24,12,12,50.0,10.309278350515465
59327,LALLAING,200044618,CA Douaisis Agglo,CA,6287.0,19.97,8730.0,152,58,94,61.8421052631579,9.225385716557977
59328,LAMBERSART,200093201,Métropole Européenne de Lille,METRO,27090.0,9.65,8290.0,783,319,464,59.25925925925925,11.775562938353636
59329,LAMBRES-LEZ-DOUAI,200044618,CA Douaisis Agglo,CA,4883.0,15.79,9940.0,134,59,75,55.970149253731336,12.08273602293672
59330,LANDAS,200041960,CC Pévèle-Carembault,CC,2518.0,6.82,,72,24,48,66.66666666666666,9.531374106433677
59331,LANDRECIES,200043321,CC du Pays de Mormal,CC,3407.0,18.81,6510.0,156,64,92,58.97435897435898,18.784854710889345
59332,LANNOY,200093201,Métropole Européenne de Lille,METRO,1812.0,16.96,,88,32,56,63.63636363636363,17.660044150110373
59333,LAROUILLIES,200043263,CC Coeur de l'Avesnois,CC,231.0,12.12,,5,3,2,40.0,12.987012987012987
59334,LAUWIN-PLANQUE,200044618,CA Douaisis Agglo,CA,1608.0,12.82,,21,10,11,52.38095238095239,6.218905472636815
59335,LECELLES,200042190,CA de la Porte du Hainaut,CA,3046.0,7.32,9800.0,65,28,37,56.92307692307692,9.192383453709784
59336,LECLUSE,200044618,CA Douaisis Agglo,CA,1346.0,12.47,,29,13,16,55.172413793103445,9.658246656760772
59337,LEDERZEELE,200040954,CC des Hauts de Flandre,CC,703.0,6.35,,17,10,7,41.17647058823529,14.224751066856332
59338,LEDRINGHEM,200040954,CC des Hauts de Flandre,CC,611.0,5.6,,5,2,3,60.0,3.2733224222585924
59339,LEERS,200093201,Métropole Européenne de Lille,METRO,9521.0,10.47,9930.0,350,146,204,58.285714285714285,15.334523684486923
59340,LEFFRINCKOUCKE,245900428,CU de Dunkerque,CU,4078.0,12.48,9520.0,64,25,39,60.9375,6.1304561059342815
59341,LESDAIN,200068500,CA de Cambrai,CA,432.0,10.15,,12,0,12,100.0,0.0
59342,LEZ-FONTAINE,200043263,CC Coeur de l'Avesnois,CC,236.0,10.42,,4,0,4,100.0,0.0
59343,LESQUIN,200093201,Métropole Européenne de Lille,METRO,9600.0,8.57,9430.0,297,134,163,54.882154882154886,13.958333333333334
59344,LEVAL,200043396,CA Maubeuge Val de Sambre,CA,2474.0,15.79,9390.0,52,30,22,42.30769230769231,12.126111560226352
59345,LEWARDE,245901152,CA Coeur d'Ostrevent,CA,2353.0,20.05,7540.0,56,17,39,69.64285714285714,7.224819379515512
59346,LEZENNES,200093201,Métropole Européenne de Lille,METRO,2978.0,8.78,8650.0,146,66,80,54.794520547945204,22.16252518468771
59347,LIESSIES,200043263,CC Coeur de l'Avesnois,CC,527.0,11.9,,8,3,5,62.5,5.692599620493358
59348,LIEU-SAINT-AMAND,200042190,CA de la Porte du Hainaut,CA,1462.0,9.76,,29,15,14,48.275862068965516,10.259917920656635
59349,LIGNY-EN-CAMBRESIS,200030633,CA du Caudrésis et du Catésis,CA,1847.0,11.66,,67,34,33,49.25373134328358,18.408229561451
59350,LILLE,200093201,Métropole Européenne de Lille,METRO,238246.0,16.89,6480.0,15195,5605,9590,63.11286607436657,23.526103271408545
59351,LIMONT-FONTAINE,200043396,CA Maubeuge Val de Sambre,CA,525.0,15.04,,8,3,5,62.5,5.714285714285714
59352,LINSELLES,200093201,Métropole Européenne de Lille,METRO,8161.0,6.95,9400.0,256,102,154,60.15625,12.498468324960177
59353,LOCQUIGNOL,200043321,CC du Pays de Mormal,CC,301.0,9.12,,11,5,6,54.54545454545454,16.611295681063122
59354,LOFFRE,245901152,CA Coeur d'Ostrevent,CA,712.0,7.7,,18,6,12,66.66666666666666,8.426966292134832
59356,LOMPRET,200093201,Métropole Européenne de Lille,METRO,2155.0,7.5,,49,25,24,48.97959183673469,11.60092807424594
59357,LA LONGUEVILLE,200043321,CC du Pays de Mormal,CC,2057.0,8.57,9520.0,62,27,35,56.451612903225815,13.125911521633448
59358,LOOBERGHE,200040954,CC des Hauts de Flandre,CC,1228.0,8.37,,32,15,17,53.125,12.21498371335505
59359,LOON-PLAGE,245900428,CU de Dunkerque,CU,5952.0,9.7,9620.0,156,59,97,62.17948717948718,9.91263440860215
59360,LOOS,200093201,Métropole Européenne de Lille,METRO,22567.0,17.67,7670.0,721,279,442,61.30374479889043,12.363185181902779
59361,LOURCHES,200042190,CA de la Porte du Hainaut,CA,3734.0,25.48,6710.0,124,57,67,54.03225806451613,15.265131226566684
59363,LOUVIGNIES-QUESNOY,200043321,CC du Pays de Mormal,CC,899.0,8.57,,31,13,18,58.06451612903226,14.460511679644048
59364,LOUVIL,200041960,CC Pévèle-Carembault,CC,922.0,8.13,,21,9,12,57.14285714285714,9.761388286334055
59365,LOUVROIL,200043396,CA Maubeuge Val de Sambre,CA,6294.0,37.29,5650.0,474,200,274,57.80590717299579,31.776294884016526
59366,LYNDE,200040947,CA Coeur de Flandre,CA,783.0,5.83,,10,6,4,40.0,7.662835249042145
59367,LYS-LEZ-LANNOY,200093201,Métropole Européenne de Lille,METRO,14050.0,13.21,8180.0,466,183,283,60.72961373390557,13.024911032028468
59368,LA MADELEINE,200093201,Métropole Européenne de Lille,METRO,21790.0,13.04,8020.0,861,289,572,66.43437862950059,13.262964662689308
59369,MAING,245901160,CA Valenciennes Métropole,CA,3954.0,9.31,8530.0,77,26,51,66.23376623376623,6.575619625695498
59370,MAIRIEUX,200043396,CA Maubeuge Val de Sambre,CA,699.0,7.99,,18,8,10,55.55555555555556,11.444921316165953
59371,LE MAISNIL,200093201,Métropole Européenne de Lille,METRO,628.0,2.65,,14,7,7,50.0,11.146496815286625
59372,MALINCOURT,200030633,CA du Caudrésis et du Catésis,CA,498.0,12.38,,14,8,6,42.857142857142854,16.06425702811245
59374,MARBAIX,200043263,CC Coeur de l'Avesnois,CC,461.0,13.91,,10,8,2,20.0,17.35357917570499
59375,MARCHIENNES,245901152,CA Coeur d'Ostrevent,CA,4507.0,10.94,9450.0,113,40,73,64.60176991150442,8.875083203905037
59377,MARCOING,200068500,CA de Cambrai,CA,1841.0,13.75,,39,18,21,53.84615384615385,9.77729494839761
59378,MARCQ-EN-BARŒUL,200093201,Métropole Européenne de Lille,METRO,40184.0,9.3,8190.0,1388,516,872,62.824207492795395,12.840931714115072
59379,MARCQ-EN-OSTREVENT,200044618,CA Douaisis Agglo,CA,741.0,11.17,,23,14,9,39.130434782608695,18.893387314439945
59381,MARESCHES,200043321,CC du Pays de Mormal,CC,808.0,10.3,,17,9,8,47.05882352941176,11.138613861386139
59382,MARETZ,200030633,CA du Caudrésis et du Catésis,CA,1402.0,15.57,,53,16,37,69.81132075471697,11.412268188302425
59383,MARLY,245901160,CA Valenciennes Métropole,CA,11995.0,20.35,7730.0,309,112,197,63.75404530744336,9.33722384326803
59384,MAROILLES,200043321,CC du Pays de Mormal,CC,1454.0,11.74,,63,28,35,55.55555555555556,19.257221458046768
59385,MARPENT,200043396,CA Maubeuge Val de Sambre,CA,2653.0,21.82,7910.0,72,37,35,48.61111111111111,13.94647568790049
59386,MARQUETTE-LEZ-LILLE,200093201,Métropole Européenne de Lille,METRO,12622.0,8.6,8180.0,382,178,204,53.403141361256544,14.102360957059103
59387,MARQUETTE-EN-OSTREVANT,200042190,CA de la Porte du Hainaut,CA,1943.0,12.53,,51,19,32,62.745098039215684,9.778692743180649
59388,MARQUILLIES,200093201,Métropole Européenne de Lille,METRO,1961.0,8.14,,33,16,17,51.515151515151516,8.15910249872514
59389,MASNIERES,200068500,CA de Cambrai,CA,2689.0,18.48,8040.0,71,38,33,46.478873239436616,14.131647452584604
59390,MASNY,245901152,CA Coeur d'Ostrevent,CA,3999.0,20.38,7230.0,126,49,77,61.111111111111114,12.253063265816454
59391,MASTAING,200042190,CA de la Porte du Hainaut,CA,911.0,11.96,,17,6,11,64.70588235294117,6.586169045005488
59392,MAUBEUGE,200043396,CA Maubeuge Val de Sambre,CA,28767.0,29.56,6390.0,1257,457,800,63.64359586316627,15.886258560155735
59393,MAULDE,200042190,CA de la Porte du Hainaut,CA,949.0,8.66,,21,12,9,42.857142857142854,12.644889357218124
59394,MAUROIS,200030633,CA du Caudrésis et du Catésis,CA,405.0,24.56,,6,1,5,83.33333333333334,2.4691358024691357
59395,MAZINGHIEN,200030633,CA du Caudrésis et du Catésis,CA,279.0,10.02,,10,3,7,70.0,10.75268817204301
59396,MECQUIGNIES,200043321,CC du Pays de Mormal,CC,695.0,7.02,,22,10,12,54.54545454545454,14.388489208633095
59397,MERCKEGHEM,200040954,CC des Hauts de Flandre,CC,615.0,8.52,,11,3,8,72.72727272727273,4.878048780487805
59398,MERIGNIES,200041960,CC Pévèle-Carembault,CC,3527.0,5.79,,91,38,53,58.24175824175825,10.774028919761836
59399,MERRIS,200040947,CA Coeur de Flandre,CA,1106.0,7.22,,23,6,17,73.91304347826086,5.424954792043399
59400,MERVILLE,245900758,CC Flandre Lys,CC,9808.0,14.42,9080.0,293,123,170,58.02047781569966,12.54078303425775
59401,METEREN,200040947,CA Coeur de Flandre,CA,2231.0,5.42,8940.0,69,37,32,46.3768115942029,16.584491259524878
59402,MILLAM,200040954,CC des Hauts de Flandre,CC,838.0,6.56,,24,13,11,45.83333333333333,15.513126491646778
59403,MILLONFOSSE,200042190,CA de la Porte du Hainaut,CA,705.0,8.3,,16,9,7,43.75,12.765957446808512
59405,MOEUVRES,200068500,CA de Cambrai,CA,490.0,7.61,,10,5,5,50.0,10.204081632653061
59406,MONCEAU-SAINT-WAAST,200043396,CA Maubeuge Val de Sambre,CA,419.0,9.75,,10,4,6,60.0,9.546539379474941
59407,MONCHAUX-SUR-ECAILLON,245901160,CA Valenciennes Métropole,CA,616.0,6.95,,8,4,4,50.0,6.4935064935064934
59408,MONCHEAUX,200041960,CC Pévèle-Carembault,CC,1663.0,5.13,,32,12,20,62.5,7.215874924834636
59409,MONCHECOURT,245901152,CA Coeur d'Ostrevent,CA,2516.0,16.5,8680.0,52,20,32,61.53846153846154,7.94912559618442
59410,MONS-EN-BARŒUL,200093201,Métropole Européenne de Lille,METRO,21105.0,16.53,7560.0,712,278,434,60.95505617977528,13.172234067756456
59411,MONS-EN-PEVELE,200041960,CC Pévèle-Carembault,CC,2075.0,7.66,,64,28,36,56.25,13.493975903614457
59412,MONTAY,200030633,CA du Caudrésis et du Catésis,CA,276.0,17.1,,10,6,4,40.0,21.739130434782606
59413,MONTIGNY-EN-CAMBRESIS,200030633,CA du Caudrésis et du Catésis,CA,552.0,13.89,,14,9,5,35.714285714285715,16.304347826086953
59414,MONTIGNY-EN-OSTREVENT,245901152,CA Coeur d'Ostrevent,CA,4495.0,14.73,8690.0,130,55,75,57.692307692307686,12.235817575083425
59415,MONTRECOURT,245901038,CC du Pays Solesmois,CC,228.0,9.26,,3,1,2,66.66666666666666,4.385964912280701
59416,MORBECQUE,200040947,CA Coeur de Flandre,CA,2573.0,11.23,10430.0,56,22,34,60.71428571428571,8.550330353672756
59418,MORTAGNE-DU-NORD,200042190,CA de la Porte du Hainaut,CA,1599.0,18.16,,48,18,30,62.5,11.25703564727955
59419,MOUCHIN,200041960,CC Pévèle-Carembault,CC,1491.0,4.82,,31,7,24,77.41935483870968,4.694835680751173
59420,MOUSTIER-EN-FAGNE,200043404,CC du Sud Avesnois,CC,61.0,13.04,,1,1,0,0.0,16.39344262295082
59421,MOUVAUX,200093201,Métropole Européenne de Lille,METRO,13369.0,9.81,8840.0,433,166,267,61.662817551963045,12.416785099857881
59422,NAVES,200068500,CA de Cambrai,CA,620.0,10.15,,19,9,10,52.63157894736842,14.516129032258064
59423,NEUF-BERQUIN,200040947,CA Coeur de Flandre,CA,1417.0,10.29,,27,15,12,44.44444444444444,10.585744530698658
59424,NEUF-MESNIL,200043396,CA Maubeuge Val de Sambre,CA,1286.0,22.69,,45,20,25,55.55555555555556,15.552099533437014
59425,NEUVILLE-EN-AVESNOIS,200043321,CC du Pays de Mormal,CC,298.0,8.68,,9,5,4,44.44444444444444,16.778523489932887
59426,NEUVILLE-EN-FERRAIN,200093201,Métropole Européenne de Lille,METRO,10002.0,8.15,9610.0,369,187,182,49.32249322493225,18.696260747850427
59427,LA NEUVILLE,200041960,CC Pévèle-Carembault,CC,593.0,6.8,,14,5,9,64.28571428571429,8.431703204047217
59428,NEUVILLE-SAINT-REMY,200068500,CA de Cambrai,CA,4012.0,19.68,8440.0,97,36,61,62.88659793814433,8.973080757726821
59429,NEUVILLE-SUR-ESCAUT,200042190,CA de la Porte du Hainaut,CA,2901.0,16.33,8950.0,46,18,28,60.86956521739131,6.204756980351603
59430,NEUVILLY,200030633,CA du Caudrésis et du Catésis,CA,1103.0,14.39,,25,13,12,48.0,11.786038077969176
59431,NIEPPE,200040947,CA Coeur de Flandre,CA,7764.0,9.26,9100.0,276,122,154,55.79710144927537,15.713549716640907
59432,NIERGNIES,200068500,CA de Cambrai,CA,509.0,5.27,,13,7,6,46.15384615384615,13.752455795677799
59433,NIEURLET,200040954,CC des Hauts de Flandre,CC,908.0,9.02,,19,9,10,52.63157894736842,9.911894273127754
59434,NIVELLE,200042190,CA de la Porte du Hainaut,CA,1406.0,8.95,,28,14,14,50.0,9.957325746799432
59435,NOMAIN,200041960,CC Pévèle-Carembault,CC,2651.0,7.82,10200.0,48,15,33,68.75,5.658242172764995
59436,NOORDPEENE,200040947,CA Coeur de Flandre,CA,825.0,6.15,,19,7,12,63.1578947368421,8.484848484848484
59437,NOYELLES-LES-SECLIN,200093201,Métropole Européenne de Lille,METRO,838.0,5.8,,18,5,13,72.22222222222221,5.966587112171838
