code_commune,nom_commune,epci_siren,epci_nom,epci_type,population,taux_chomage,revenu_median,total_etablissements,nb_actifs,nb_fermes,taux_mortalite,densite_commerciale
59052,BAUVIN,200093201,Métropole Européenne de Lille,METRO,5249.0,12.41,8970.0,117,52,65,55.55555555555556,9.906648885502001
59053,BAVAY,200043321,CC du Pays de Mormal,CC,3249.0,18.51,8430.0,124,53,71,57.25806451612904,16.312711603570328
59054,BAVINCHOVE,200040947,CA Coeur de Flandre,CA,1045.0,11.13,,18,6,12,66.66666666666666,5.741626794258374
59055,BAZUEL,200030633,CA du Caudrésis et du Catésis,CA,551.0,16.17,,14,4,10,71.42857142857143,7.259528130671506
59056,BEAUCAMPS-LIGNY,200093201,Métropole Européenne de Lille,METRO,845.0,5.77,,41,19,22,53.65853658536586,22.485207100591715
59057,BEAUDIGNIES,200043321,CC du Pays de Mormal,CC,574.0,10.13,,14,6,8,57.14285714285714,10.452961672473869
59058,BEAUFORT,200043396,CA Maubeuge Val de Sambre,CA,995.0,10.18,,28,14,14,50.0,14.07035175879397
59059,BEAUMONT-EN-CAMBRESIS,200030633,CA du Caudrésis et du Catésis,CA,458.0,15.27,,17,4,13,76.47058823529412,8.73362445414847
59060,BEAURAIN,245901038,CC du Pays Solesmois,CC,234.0,11.71,,7,4,3,42.857142857142854,17.094017094017094
59061,BEAUREPAIRE-SUR-SAMBRE,200043263,CC Coeur de l'Avesnois,CC,272.0,14.02,,8,4,4,50.0,14.705882352941176
59062,BEAURIEUX,200043263,CC Coeur de l'Avesnois,CC,169.0,8.82,,6,2,4,66.66666666666666,11.834319526627219
59063,BEAUVOIS-EN-CAMBRESIS,200030633,CA du Caudrésis et du Catésis,CA,1933.0,22.67,,113,50,63,55.75221238938053,25.86652871184687
59064,BELLAING,200042190,CA de la Porte du Hainaut,CA,1301.0,13.45,,37,21,16,43.24324324324324,16.141429669485014
59065,BELLIGNIES,200043321,CC du Pays de Mormal,CC,810.0,9.41,,20,9,11,55.00000000000001,11.11111111111111
59066,BERELLES,200043263,CC Coeur de l'Avesnois,CC,163.0,8.79,,5,3,2,40.0,18.404907975460123
59067,BERGUES,200040954,CC des Hauts de Flandre,CC,3525.0,12.42,8960.0,185,78,107,57.83783783783784,22.127659574468087
